               *               *    core_i/load_store_unit_i/U517/output
            4.21            4.25    core_i/load_store_unit_i/U386/B2
            0.44            0.30    core_i/load_store_unit_i/U386/A
            0.30            0.44    core_i/load_store_unit_i/U386/ZN
            0.58            0.51    core_i/load_store_unit_i/U400/B1
            4.20            4.26    core_i/load_store_unit_i/U400/B2
            0.42            0.31    core_i/load_store_unit_i/U400/A
            0.31            0.42    core_i/load_store_unit_i/U400/ZN
            0.59            0.51    core_i/load_store_unit_i/U407/B1
            4.21            4.26    core_i/load_store_unit_i/U407/B2
            0.44            0.31    core_i/load_store_unit_i/U407/A
            0.31            0.44    core_i/load_store_unit_i/U407/ZN
            0.18            0.33    core_i/load_store_unit_i/U421/A
            0.33            0.18    core_i/load_store_unit_i/U421/ZN
            0.22            0.42    core_i/load_store_unit_i/U427/A1
            0.36            0.52    core_i/load_store_unit_i/U427/A2
            0.42            0.22    core_i/load_store_unit_i/U427/ZN
            1.47            1.40    core_i/load_store_unit_i/U254/A1
            1.43            1.50    core_i/load_store_unit_i/U254/A2
            1.40            1.43    core_i/load_store_unit_i/U254/ZN
            1.46            1.38    core_i/load_store_unit_i/U257/A1
            1.41            1.48    core_i/load_store_unit_i/U257/A2
            1.38            1.41    core_i/load_store_unit_i/U257/ZN
            0.73            0.59    core_i/load_store_unit_i/U18/A1
            0.78            0.62    core_i/load_store_unit_i/U18/A2
            0.73            0.59    core_i/load_store_unit_i/U18/ZN
            1.50            1.51    core_i/load_store_unit_i/U274/A
            1.56            1.56    core_i/load_store_unit_i/U274/B
            1.50            1.51    core_i/load_store_unit_i/U274/Z
            0.68            0.55    core_i/load_store_unit_i/U20/A1
            0.68            0.52    core_i/load_store_unit_i/U20/A2
            0.68            0.52    core_i/load_store_unit_i/U20/ZN
            0.38            0.51    core_i/load_store_unit_i/U25/A1
            0.42            0.55    core_i/load_store_unit_i/U25/A2
            0.42            0.55    core_i/load_store_unit_i/U25/A3
            0.38            0.51    core_i/load_store_unit_i/U25/ZN
            1.24            1.18    core_i/load_store_unit_i/U28/A1
            1.33            1.26    core_i/load_store_unit_i/U28/A2
            1.24            1.18    core_i/load_store_unit_i/U28/ZN
            4.52            4.43    core_i/load_store_unit_i/U477/B1
            0.43            0.35    core_i/load_store_unit_i/U477/B2
            0.27            0.22    core_i/load_store_unit_i/U477/A
            0.22            0.27    core_i/load_store_unit_i/U477/ZN
            1.36            1.40    core_i/load_store_unit_i/U298/A1
            1.78            1.76    core_i/load_store_unit_i/U298/A2
            1.36            1.40    core_i/load_store_unit_i/U298/ZN
            0.59            0.61    core_i/load_store_unit_i/cnt_q_reg_0_/D
            3.87               *    core_i/load_store_unit_i/cnt_q_reg_0_/CK
               *               *    core_i/load_store_unit_i/cnt_q_reg_0_/RN
            3.87            3.87    core_i/load_store_unit_i/cnt_q_reg_0_/Q
            4.73            4.76    core_i/load_store_unit_i/cnt_q_reg_0_/QN
            1.19            1.18    core_i/load_store_unit_i/U492/A
            1.18            1.19    core_i/load_store_unit_i/U492/ZN
            0.68            0.68    core_i/load_store_unit_i/U499/A1
            0.62            0.59    core_i/load_store_unit_i/U499/A2
            0.62            0.59    core_i/load_store_unit_i/U499/ZN
            1.19            1.29    core_i/load_store_unit_i/U302/A1
            1.32            1.36    core_i/load_store_unit_i/U302/A2
            1.19            1.29    core_i/load_store_unit_i/U302/ZN
            1.32            1.29    core_i/load_store_unit_i/U303/A1
            1.20            1.20    core_i/load_store_unit_i/U303/A2
            1.20            1.20    core_i/load_store_unit_i/U303/ZN
            0.59            0.56    core_i/load_store_unit_i/cnt_q_reg_1_/D
            1.83               *    core_i/load_store_unit_i/cnt_q_reg_1_/CK
               *               *    core_i/load_store_unit_i/cnt_q_reg_1_/RN
            1.83            1.83    core_i/load_store_unit_i/cnt_q_reg_1_/Q
               *               *    core_i/load_store_unit_i/cnt_q_reg_1_/QN
            0.61            0.60    core_i/load_store_unit_i/U327/A1
            0.35            0.41    core_i/load_store_unit_i/U327/A2
            4.53            4.52    core_i/load_store_unit_i/U327/B1
            0.39            0.42    core_i/load_store_unit_i/U327/B2
            0.41            0.35    core_i/load_store_unit_i/U327/ZN
            0.50            0.37    core_i/load_store_unit_i/U86/A1
            0.23            0.11    core_i/load_store_unit_i/U86/A2
            0.11            0.23    core_i/load_store_unit_i/U86/ZN
            1.20            1.31    core_i/load_store_unit_i/U523/A1
            1.31            1.34    core_i/load_store_unit_i/U523/A2
            1.20            1.31    core_i/load_store_unit_i/U523/ZN
            0.19            0.13    core_i/load_store_unit_i/U140/B1
            0.27            0.12    core_i/load_store_unit_i/U140/B2
            0.26            0.11    core_i/load_store_unit_i/U140/A
            0.11            0.19    core_i/load_store_unit_i/U140/ZN
            0.61            0.59    core_i/load_store_unit_i/U335/A1
            0.35            0.41    core_i/load_store_unit_i/U335/A2
            4.53            4.52    core_i/load_store_unit_i/U335/B1
            0.39            0.42    core_i/load_store_unit_i/U335/B2
            0.41            0.35    core_i/load_store_unit_i/U335/ZN
            0.58            0.63    core_i/load_store_unit_i/U342/A1
            0.32            0.44    core_i/load_store_unit_i/U342/A2
            4.51            4.55    core_i/load_store_unit_i/U342/B1
            0.37            0.45    core_i/load_store_unit_i/U342/B2
            0.44            0.32    core_i/load_store_unit_i/U342/ZN
            0.58            0.63    core_i/load_store_unit_i/U350/A1
            0.32            0.44    core_i/load_store_unit_i/U350/A2
            4.51            4.55    core_i/load_store_unit_i/U350/B1
            0.37            0.45    core_i/load_store_unit_i/U350/B2
            0.44            0.32    core_i/load_store_unit_i/U350/ZN
            0.28            0.42    core_i/load_store_unit_i/U365/B1
            0.36            0.47    core_i/load_store_unit_i/U365/B2
            0.19            0.25    core_i/load_store_unit_i/U365/A
            0.25            0.19    core_i/load_store_unit_i/U365/ZN
            4.51            4.44    core_i/load_store_unit_i/U373/B1
            0.42            0.36    core_i/load_store_unit_i/U373/B2
            0.26            0.23    core_i/load_store_unit_i/U373/A
            0.23            0.26    core_i/load_store_unit_i/U373/ZN
            4.52            4.43    core_i/load_store_unit_i/U379/B1
            0.43            0.35    core_i/load_store_unit_i/U379/B2
            0.27            0.22    core_i/load_store_unit_i/U379/A
            0.22            0.27    core_i/load_store_unit_i/U379/ZN
            0.56            0.63    core_i/load_store_unit_i/U387/A1
            0.30            0.44    core_i/load_store_unit_i/U387/A2
            4.48            4.55    core_i/load_store_unit_i/U387/B1
            0.34            0.45    core_i/load_store_unit_i/U387/B2
            0.44            0.30    core_i/load_store_unit_i/U387/ZN
            4.52            4.43    core_i/load_store_unit_i/U392/B1
            0.43            0.35    core_i/load_store_unit_i/U392/B2
            0.27            0.22    core_i/load_store_unit_i/U392/A
            0.22            0.27    core_i/load_store_unit_i/U392/ZN
            0.57            0.61    core_i/load_store_unit_i/U401/A1
            0.31            0.42    core_i/load_store_unit_i/U401/A2
            4.50            4.53    core_i/load_store_unit_i/U401/B1
            0.36            0.43    core_i/load_store_unit_i/U401/B2
            0.42            0.31    core_i/load_store_unit_i/U401/ZN
            0.57            0.63    core_i/load_store_unit_i/U408/A1
            0.31            0.44    core_i/load_store_unit_i/U408/A2
            4.50            4.55    core_i/load_store_unit_i/U408/B1
            0.36            0.45    core_i/load_store_unit_i/U408/B2
            0.44            0.31    core_i/load_store_unit_i/U408/ZN
            0.63            0.62    core_i/load_store_unit_i/data_type_q_reg_0_/D
            4.03               *    core_i/load_store_unit_i/data_type_q_reg_0_/CK
               *               *    core_i/load_store_unit_i/data_type_q_reg_0_/RN
            4.03            4.06    core_i/load_store_unit_i/data_type_q_reg_0_/Q
            4.14            4.21    core_i/load_store_unit_i/data_type_q_reg_0_/QN
            4.51            4.41    core_i/load_store_unit_i/U413/B1
            0.42            0.33    core_i/load_store_unit_i/U413/B2
            0.26            0.21    core_i/load_store_unit_i/U413/A
            0.21            0.26    core_i/load_store_unit_i/U413/ZN
            4.51            4.41    core_i/load_store_unit_i/U419/B1
            0.42            0.33    core_i/load_store_unit_i/U419/B2
            0.26            0.21    core_i/load_store_unit_i/U419/A
            0.21            0.26    core_i/load_store_unit_i/U419/ZN
            0.63            0.62    core_i/load_store_unit_i/data_type_q_reg_1_/D
            4.02               *    core_i/load_store_unit_i/data_type_q_reg_1_/CK
               *               *    core_i/load_store_unit_i/data_type_q_reg_1_/RN
            4.02            4.06    core_i/load_store_unit_i/data_type_q_reg_1_/Q
            4.14            4.24    core_i/load_store_unit_i/data_type_q_reg_1_/QN
            0.62            0.59    core_i/load_store_unit_i/data_sign_ext_q_reg_0_/D
            4.19               *    core_i/load_store_unit_i/data_sign_ext_q_reg_0_/CK
               *               *    core_i/load_store_unit_i/data_sign_ext_q_reg_0_/RN
            4.30            4.19    core_i/load_store_unit_i/data_sign_ext_q_reg_0_/Q
            4.27            4.38    core_i/load_store_unit_i/data_sign_ext_q_reg_0_/QN
            4.47            4.37    core_i/load_store_unit_i/U428/C1
            4.14            4.10    core_i/load_store_unit_i/U428/C2
            0.33            0.18    core_i/load_store_unit_i/U428/A
            0.42            0.22    core_i/load_store_unit_i/U428/B
            0.18            0.33    core_i/load_store_unit_i/U428/ZN
